Contig	Position	Length	Snps_females	Snps_males	Fst	Abs_depth_females	Abs_depth_males	Rel_depth_females	Rel_depth_males
NC_025968.4_RaGOO	1075000	43380699	0	1	0.0000	32	29	0.85	0.80
NC_025968.4_RaGOO	1100000	43380699	1	1	0.0000	37	35	0.98	0.95
NC_025968.4_RaGOO	1125000	43380699	0	0	0.0000	37	35	0.96	0.96
NC_025968.4_RaGOO	1150000	43380699	0	0	0.0000	32	31	0.85	0.84
NC_025968.4_RaGOO	1175000	43380699	4	0	0.0044	37	34	0.96	0.93
NC_025968.4_RaGOO	1200000	43380699	0	0	0.0000	34	34	0.89	0.94
NC_025968.4_RaGOO	1225000	43380699	2	0	0.0000	34	33	0.91	0.90
NC_025968.4_RaGOO	1250000	43380699	1	1	0.0000	33	32	0.88	0.87
NC_025968.4_RaGOO	1275000	43380699	0	1	0.0000	37	34	0.97	0.94
NC_025968.4_RaGOO	1300000	43380699	4	1	0.0000	32	32	0.85	0.87
NC_025968.4_RaGOO	1325000	43380699	1	0	0.0000	36	34	0.96	0.92
NC_025968.4_RaGOO	1350000	43380699	1	1	0.0000	31	29	0.81	0.79
NC_025968.4_RaGOO	1375000	43380699	0	1	0.0000	33	31	0.87	0.84
NC_025968.4_RaGOO	1400000	43380699	0	0	0.0000	33	33	0.87	0.91
NC_025968.4_RaGOO	1425000	43380699	3	0	0.0000	33	30	0.87	0.81
NC_025968.4_RaGOO	1450000	43380699	0	0	0.0000	33	31	0.87	0.84
NC_025968.4_RaGOO	1475000	43380699	24	0	0.0090	33	30	0.86	0.83
NC_025968.4_RaGOO	1500000	43380699	2	0	0.0000	35	33	0.91	0.91
NC_025968.4_RaGOO	1525000	43380699	2	0	0.0000	36	34	0.94	0.94
NC_025968.4_RaGOO	1550000	43380699	1	0	0.0000	36	34	0.94	0.94
NC_025968.4_RaGOO	1575000	43380699	2	0	0.0000	33	32	0.86	0.88
NC_025968.4_RaGOO	1600000	43380699	25	1	0.0121	38	34	0.99	0.93
NC_025968.4_RaGOO	1625000	43380699	2	0	0.0029	36	35	0.94	0.95
NC_025968.4_RaGOO	1650000	43380699	6	0	0.0000	32	30	0.85	0.81
NC_025968.4_RaGOO	1675000	43380699	2	0	0.0000	37	36	0.98	0.98
NC_025968.4_RaGOO	1700000	43380699	0	0	0.0000	35	33	0.92	0.90
NC_025968.4_RaGOO	1725000	43380699	0	1	0.0000	35	32	0.93	0.87
NC_025968.4_RaGOO	1750000	43380699	0	4	0.0000	35	33	0.93	0.91
NC_025968.4_RaGOO	1775000	43380699	0	0	0.0000	34	34	0.89	0.93
NC_025968.4_RaGOO	1800000	43380699	0	0	0.0000	35	34	0.93	0.94
NC_025968.4_RaGOO	1825000	43380699	0	0	0.0036	35	34	0.92	0.94
NC_025968.4_RaGOO	1850000	43380699	0	1	0.0000	39	40	1.04	1.10
NC_025968.4_RaGOO	1875000	43380699	0	0	0.0000	40	38	1.06	1.05
NC_025968.4_RaGOO	1900000	43380699	0	0	0.0000	38	37	0.99	1.01
NC_025968.4_RaGOO	1925000	43380699	0	1	0.0000	40	40	1.05	1.10
NC_025968.4_RaGOO	1950000	43380699	3	0	0.0000	38	38	1.01	1.03
NC_025968.4_RaGOO	1975000	43380699	0	0	0.0000	30	28	0.80	0.78
NC_025968.4_RaGOO	2000000	43380699	0	3	0.0000	36	35	0.95	0.95
NC_025968.4_RaGOO	2025000	43380699	1	0	0.0000	37	35	0.97	0.97
NC_025968.4_RaGOO	2050000	43380699	0	0	0.0000	38	37	1.00	1.00
NC_025968.4_RaGOO	2075000	43380699	0	0	0.0000	35	33	0.93	0.90
NC_025968.4_RaGOO	2100000	43380699	1	6	0.0000	38	37	1.00	1.01
NC_025968.4_RaGOO	2125000	43380699	2	6	0.0000	35	34	0.92	0.93
NC_025968.4_RaGOO	2150000	43380699	0	1	0.0000	39	36	1.02	0.98
NC_025968.4_RaGOO	2175000	43380699	0	2	0.0000	40	39	1.06	1.06
NC_025968.4_RaGOO	2200000	43380699	4	0	0.0000	37	37	0.97	1.02
NC_025968.4_RaGOO	2225000	43380699	9	0	0.0000	37	36	0.98	0.98
NC_025968.4_RaGOO	2250000	43380699	0	0	0.0000	37	36	0.99	0.97
NC_025968.4_RaGOO	2275000	43380699	0	0	0.0000	40	38	1.05	1.03
NC_025968.4_RaGOO	2300000	43380699	0	0	0.0000	38	37	1.01	1.01
NC_025968.4_RaGOO	2325000	43380699	0	0	0.0000	37	35	0.97	0.97
NC_025968.4_RaGOO	2350000	43380699	0	5	0.0000	33	30	0.86	0.83
NC_025968.4_RaGOO	2375000	43380699	0	0	0.0000	34	33	0.90	0.90
NC_025968.4_RaGOO	2400000	43380699	0	7	0.0000	29	28	0.77	0.76
NC_025968.4_RaGOO	2425000	43380699	0	2	0.0184	34	33	0.88	0.90
NC_025968.4_RaGOO	2450000	43380699	1	0	0.0000	38	35	0.99	0.96
NC_025968.4_RaGOO	2475000	43380699	0	1	0.0000	37	34	0.96	0.93
NC_025968.4_RaGOO	2500000	43380699	0	0	0.0000	34	32	0.88	0.88
NC_025968.4_RaGOO	2525000	43380699	0	0	0.0000	34	33	0.88	0.91
NC_025968.4_RaGOO	2550000	43380699	0	0	0.0000	32	32	0.83	0.88
NC_025968.4_RaGOO	2575000	43380699	0	8	0.0000	37	35	0.98	0.97
NC_025968.4_RaGOO	2600000	43380699	0	1	0.0191	38	35	1.01	0.96
NC_025968.4_RaGOO	2625000	43380699	0	0	0.0000	37	35	0.99	0.97
NC_025968.4_RaGOO	2650000	43380699	1	1	0.0000	40	40	1.06	1.08
NC_025968.4_RaGOO	2675000	43380699	0	0	0.0000	38	37	1.00	1.00
NC_025968.4_RaGOO	2700000	43380699	2	9	0.0152	38	39	1.01	1.06
NC_025968.4_RaGOO	2725000	43380699	0	3	0.0198	36	35	0.95	0.96
NC_025968.4_RaGOO	2750000	43380699	0	8	0.0783	36	34	0.95	0.94
NC_025968.4_RaGOO	2775000	43380699	0	10	0.0089	32	33	0.84	0.89
NC_025968.4_RaGOO	2800000	43380699	0	4	0.0030	35	36	0.92	0.99
NC_025968.4_RaGOO	2825000	43380699	0	1	0.0000	40	38	1.04	1.04
NC_025968.4_RaGOO	2850000	43380699	1	1	0.0034	36	34	0.94	0.94
NC_025968.4_RaGOO	2875000	43380699	1	3	0.0038	39	38	1.03	1.04
NC_025968.4_RaGOO	2900000	43380699	0	0	0.0000	36	34	0.96	0.93
NC_025968.4_RaGOO	2925000	43380699	1	2	0.0021	35	33	0.91	0.91
NC_025968.4_RaGOO	2950000	43380699	0	0	0.0000	37	36	0.97	0.98
NC_025968.4_RaGOO	2975000	43380699	0	2	0.0000	46	47	1.20	1.28
NC_025968.4_RaGOO	3000000	43380699	0	1	0.0000	32	32	0.83	0.86
NC_025968.4_RaGOO	3025000	43380699	0	0	0.0000	41	40	1.08	1.09
NC_025968.4_RaGOO	3050000	43380699	0	0	0.0000	41	38	1.07	1.04
NC_025968.4_RaGOO	3075000	43380699	0	18	0.0116	40	38	1.05	1.04
NC_025968.4_RaGOO	3100000	43380699	0	5	0.0000	37	37	0.98	1.01
NC_025968.4_RaGOO	3125000	43380699	1	2	0.0031	41	39	1.07	1.06
NC_025968.4_RaGOO	3150000	43380699	0	6	0.0011	36	33	0.96	0.91
NC_025968.4_RaGOO	3175000	43380699	2	1	0.0000	37	37	0.98	1.02
NC_025968.4_RaGOO	3200000	43380699	1	0	0.0000	38	36	1.01	0.99
NC_025968.4_RaGOO	3225000	43380699	2	1	0.0000	39	39	1.03	1.07
NC_025968.4_RaGOO	3250000	43380699	1	1	0.0051	36	35	0.95	0.95
NC_025968.4_RaGOO	3275000	43380699	1	3	0.0000	37	36	0.97	0.99
NC_025968.4_RaGOO	3300000	43380699	2	0	0.0000	35	34	0.93	0.93
NC_025968.4_RaGOO	3325000	43380699	0	1	0.0000	33	32	0.87	0.86
NC_025968.4_RaGOO	3350000	43380699	2	0	0.0000	40	39	1.05	1.07
NC_025968.4_RaGOO	3375000	43380699	0	1	0.0000	39	36	1.03	0.99
NC_025968.4_RaGOO	3400000	43380699	0	0	0.0000	37	35	0.98	0.95
NC_025968.4_RaGOO	3425000	43380699	1	0	0.0000	38	37	1.01	1.02
NC_025968.4_RaGOO	3450000	43380699	0	0	0.0000	38	36	0.99	0.97
NC_025968.4_RaGOO	3475000	43380699	0	0	0.0000	40	38	1.04	1.04
NC_025968.4_RaGOO	3500000	43380699	8	0	0.0436	36	36	0.95	0.99
NC_025968.4_RaGOO	3525000	43380699	8	0	0.0140	56	55	1.47	1.51
NC_025968.4_RaGOO	3550000	43380699	4	10	0.0140	41	39	1.07	1.08
NC_025968.4_RaGOO	3575000	43380699	12	3	0.0354	35	34	0.93	0.92
NC_025968.4_RaGOO	3600000	43380699	0	0	0.0000	37	36	0.96	0.98
NC_025968.4_RaGOO	3625000	43380699	0	0	0.0134	34	34	0.90	0.94
NC_025968.4_RaGOO	3650000	43380699	2	0	0.0000	36	35	0.94	0.96
NC_025968.4_RaGOO	3675000	43380699	0	0	0.0000	38	37	1.01	1.02
NC_025968.4_RaGOO	3700000	43380699	2	0	0.0217	35	34	0.92	0.92
NC_025968.4_RaGOO	3725000	43380699	1	0	0.0168	39	39	1.02	1.06
NC_025968.4_RaGOO	3750000	43380699	2	1	0.0000	37	38	0.98	1.05
NC_025968.4_RaGOO	3775000	43380699	0	2	0.0000	40	39	1.04	1.07
NC_025968.4_RaGOO	3800000	43380699	4	2	0.0000	37	35	0.96	0.96
NC_025968.4_RaGOO	3825000	43380699	6	1	0.0000	35	33	0.91	0.91
NC_025968.4_RaGOO	3850000	43380699	1	1	0.0000	38	38	1.01	1.03
NC_025968.4_RaGOO	3875000	43380699	0	1	0.0000	36	35	0.95	0.96
NC_025968.4_RaGOO	3900000	43380699	0	1	0.0000	38	37	0.99	1.02
NC_025968.4_RaGOO	3925000	43380699	0	0	0.0000	39	36	1.02	0.99
NC_025968.4_RaGOO	3950000	43380699	4	2	0.0043	38	38	1.00	1.05
NC_025968.4_RaGOO	3975000	43380699	0	0	0.0000	39	36	1.02	1.00
NC_025968.4_RaGOO	4000000	43380699	0	7	0.0050	43	41	1.13	1.13
NC_025968.4_RaGOO	4025000	43380699	0	33	0.0082	39	40	1.04	1.10
NC_025968.4_RaGOO	4050000	43380699	0	8	0.0000	39	37	1.02	1.02
NC_025968.4_RaGOO	4075000	43380699	0	0	0.0000	38	37	1.00	1.02
NC_025968.4_RaGOO	4100000	43380699	0	17	0.0000	45	43	1.19	1.18
NC_025968.4_RaGOO	4125000	43380699	0	1	0.0000	41	39	1.08	1.07
NC_025968.4_RaGOO	4150000	43380699	0	0	0.0000	44	41	1.15	1.12
NC_025968.4_RaGOO	4175000	43380699	0	4	0.0000	36	36	0.96	0.97
NC_025968.4_RaGOO	4200000	43380699	0	0	0.0000	41	41	1.09	1.13
NC_025968.4_RaGOO	4225000	43380699	0	16	0.0000	39	37	1.03	1.00
NC_025968.4_RaGOO	4250000	43380699	0	14	0.0468	35	35	0.93	0.95
NC_025968.4_RaGOO	4275000	43380699	2	1	0.0000	40	38	1.04	1.04
NC_025968.4_RaGOO	4300000	43380699	0	1	0.0000	42	42	1.09	1.14
NC_025968.4_RaGOO	4325000	43380699	0	5	0.0000	37	37	0.99	1.02
NC_025968.4_RaGOO	4350000	43380699	0	5	0.0000	36	34	0.94	0.93
NC_025968.4_RaGOO	4375000	43380699	0	1	0.0050	41	40	1.09	1.08
NC_025968.4_RaGOO	4400000	43380699	0	23	0.0008	40	39	1.06	1.08
NC_025968.4_RaGOO	4425000	43380699	0	1	0.0000	38	38	1.00	1.03
NC_025968.4_RaGOO	4450000	43380699	0	1	0.0029	40	36	1.07	1.00
NC_025968.4_RaGOO	4475000	43380699	0	1	0.0148	36	36	0.94	0.97
NC_025968.4_RaGOO	4500000	43380699	0	7	0.0018	37	36	0.98	0.99
NC_025968.4_RaGOO	4525000	43380699	0	3	0.0000	37	35	0.98	0.96
NC_025968.4_RaGOO	4550000	43380699	0	0	0.0000	39	37	1.03	1.02
NC_025968.4_RaGOO	4575000	43380699	1	0	0.0000	39	39	1.03	1.07
NC_025968.4_RaGOO	4600000	43380699	2	0	0.0113	39	39	1.03	1.07
NC_025968.4_RaGOO	4625000	43380699	2	0	0.0132	45	43	1.18	1.18
NC_025968.4_RaGOO	4650000	43380699	0	0	0.0000	39	37	1.03	1.02
NC_025968.4_RaGOO	4675000	43380699	1	0	0.0000	37	38	0.98	1.05
NC_025968.4_RaGOO	4700000	43380699	0	0	0.0000	34	34	0.91	0.94
NC_025968.4_RaGOO	4725000	43380699	0	0	0.0000	38	37	1.01	1.02
NC_025968.4_RaGOO	4750000	43380699	0	1	0.0080	40	40	1.04	1.10
NC_025968.4_RaGOO	4775000	43380699	0	0	0.0000	38	38	1.01	1.05
NC_025968.4_RaGOO	4800000	43380699	0	0	0.0000	216	205	5.68	5.61
NC_025968.4_RaGOO	4825000	43380699	0	0	0.0000	44	41	1.16	1.14
NC_025968.4_RaGOO	4850000	43380699	0	0	0.0022	40	37	1.06	1.02
NC_025968.4_RaGOO	4875000	43380699	0	0	0.0000	42	42	1.10	1.14
NC_025968.4_RaGOO	4900000	43380699	1	1	0.0000	42	44	1.12	1.19
NC_025968.4_RaGOO	4925000	43380699	0	4	0.0050	41	41	1.07	1.12
NC_025968.4_RaGOO	4950000	43380699	0	6	0.0714	43	41	1.13	1.12
NC_025968.4_RaGOO	4975000	43380699	0	15	0.0064	30	14	0.78	0.39
NC_025968.4_RaGOO	5000000	43380699	0	1	0.0443	33	29	0.86	0.80
NC_025968.4_RaGOO	5025000	43380699	0	4	0.0000	42	41	1.12	1.13
NC_025968.4_RaGOO	5050000	43380699	0	0	0.0000	42	41	1.11	1.12
NC_025968.4_RaGOO	5075000	43380699	0	0	0.0000	146	169	3.84	4.63
NC_025968.4_RaGOO	5100000	43380699	0	0	0.0000	35	36	0.92	1.00
NC_025968.4_RaGOO	5125000	43380699	3	1	0.0000	87	85	2.29	2.32
NC_025968.4_RaGOO	5150000	43380699	0	2	0.0049	69	74	1.81	2.03
NC_025968.4_RaGOO	5175000	43380699	0	0	0.0000	35	35	0.93	0.95
NC_025968.4_RaGOO	5200000	43380699	0	0	0.0000	40	37	1.06	1.02
NC_025968.4_RaGOO	5225000	43380699	0	0	0.0000	42	42	1.09	1.16
NC_025968.4_RaGOO	5250000	43380699	0	0	0.0000	42	39	1.09	1.06
NC_025968.4_RaGOO	5275000	43380699	0	0	0.0000	39	38	1.03	1.03
NC_025968.4_RaGOO	5300000	43380699	0	0	0.0000	41	40	1.07	1.09
NC_025968.4_RaGOO	5325000	43380699	0	2	0.0022	41	40	1.07	1.09
NC_025968.4_RaGOO	5350000	43380699	0	23	0.0114	40	39	1.05	1.07
NC_025968.4_RaGOO	5375000	43380699	0	7	0.0301	44	44	1.15	1.20
NC_025968.4_RaGOO	5400000	43380699	0	2	0.0083	41	38	1.08	1.04
NC_025968.4_RaGOO	5425000	43380699	0	4	0.0050	40	39	1.05	1.07
NC_025968.4_RaGOO	5450000	43380699	0	4	0.0170	40	41	1.05	1.12
NC_025968.4_RaGOO	5475000	43380699	0	7	0.0124	42	42	1.10	1.15
NC_025968.4_RaGOO	5500000	43380699	0	0	0.0000	40	39	1.05	1.07
NC_025968.4_RaGOO	5525000	43380699	20	7	0.0000	36	35	0.95	0.96
NC_025968.4_RaGOO	5550000	43380699	0	2	0.0000	43	42	1.13	1.16
NC_025968.4_RaGOO	5575000	43380699	0	1	0.0000	42	41	1.11	1.12
NC_025968.4_RaGOO	5600000	43380699	0	2	0.0000	39	38	1.02	1.05
NC_025968.4_RaGOO	5625000	43380699	0	0	0.0000	40	38	1.05	1.03
NC_025968.4_RaGOO	5650000	43380699	0	0	0.0000	37	36	0.97	0.98
NC_025968.4_RaGOO	5675000	43380699	0	3	0.0124	41	41	1.09	1.13
NC_025968.4_RaGOO	5700000	43380699	2	1	0.0006	40	40	1.05	1.10
NC_025968.4_RaGOO	5725000	43380699	1	1	0.0000	40	39	1.06	1.07
NC_025968.4_RaGOO	5750000	43380699	0	0	0.0000	38	36	0.99	0.99
NC_025968.4_RaGOO	5775000	43380699	0	2	0.0000	38	37	1.01	1.01
NC_025968.4_RaGOO	5800000	43380699	1	0	0.0000	32	31	0.83	0.84
NC_025968.4_RaGOO	5825000	43380699	0	0	0.0000	36	35	0.96	0.95
NC_025968.4_RaGOO	5850000	43380699	0	2	0.0000	36	35	0.95	0.96
NC_025968.4_RaGOO	5875000	43380699	0	0	0.0000	38	37	1.00	1.00
NC_025968.4_RaGOO	5900000	43380699	0	1	0.0000	40	40	1.05	1.09
NC_025968.4_RaGOO	5925000	43380699	1	0	0.0000	38	38	1.01	1.04
NC_025968.4_RaGOO	5950000	43380699	3	0	0.0000	42	42	1.12	1.16
NC_025968.4_RaGOO	5975000	43380699	1	0	0.0000	42	42	1.12	1.15
NC_025968.4_RaGOO	6000000	43380699	0	0	0.0000	44	42	1.15	1.16
NC_025968.4_RaGOO	6025000	43380699	0	0	0.0000	38	36	1.00	0.99
NC_025968.4_RaGOO	6050000	43380699	0	0	0.0000	39	38	1.04	1.04
NC_025968.4_RaGOO	6075000	43380699	2	8	0.0000	36	35	0.94	0.96
NC_025968.4_RaGOO	6100000	43380699	1	1	0.0000	39	36	1.03	1.00
NC_025968.4_RaGOO	6125000	43380699	0	0	0.0000	38	36	1.00	0.99
NC_025968.4_RaGOO	6150000	43380699	0	15	0.0188	40	38	1.06	1.04
NC_025968.4_RaGOO	6175000	43380699	0	0	0.0000	40	38	1.05	1.05
NC_025968.4_RaGOO	6200000	43380699	0	0	0.0000	41	40	1.08	1.09
NC_025968.4_RaGOO	6225000	43380699	0	0	0.0000	39	37	1.02	1.02
NC_025968.4_RaGOO	6250000	43380699	0	0	0.0000	41	41	1.08	1.11
NC_025968.4_RaGOO	6275000	43380699	0	1	0.0000	41	40	1.09	1.10
NC_025968.4_RaGOO	6300000	43380699	0	0	0.0000	43	40	1.12	1.09
NC_025968.4_RaGOO	6325000	43380699	0	0	0.0000	40	39	1.05	1.07
NC_025968.4_RaGOO	6350000	43380699	0	0	0.0077	40	37	1.06	1.00
NC_025968.4_RaGOO	6375000	43380699	1	1	0.0000	41	37	1.07	1.02
NC_025968.4_RaGOO	6400000	43380699	2	1	0.0000	44	41	1.16	1.13
NC_025968.4_RaGOO	6425000	43380699	0	0	0.0000	41	39	1.07	1.08
NC_025968.4_RaGOO	6450000	43380699	0	0	0.0000	43	42	1.13	1.16
NC_025968.4_RaGOO	6475000	43380699	0	0	0.0000	40	40	1.04	1.11
NC_025968.4_RaGOO	6500000	43380699	0	0	0.0000	40	39	1.05	1.08
NC_025968.4_RaGOO	6525000	43380699	1	1	0.0000	40	39	1.06	1.07
NC_025968.4_RaGOO	6550000	43380699	2	0	0.0000	42	41	1.10	1.12
NC_025968.4_RaGOO	6575000	43380699	1	0	0.0141	44	40	1.15	1.10
NC_025968.4_RaGOO	6600000	43380699	0	0	0.0000	40	38	1.05	1.04
NC_025968.4_RaGOO	6625000	43380699	0	1	0.0000	44	41	1.15	1.12
NC_025968.4_RaGOO	6650000	43380699	0	0	0.0000	36	35	0.95	0.95
NC_025968.4_RaGOO	6675000	43380699	0	5	0.0258	40	38	1.04	1.04
NC_025968.4_RaGOO	6700000	43380699	0	1	0.0000	42	41	1.10	1.12
NC_025968.4_RaGOO	6725000	43380699	1	0	0.0000	41	41	1.09	1.11
NC_025968.4_RaGOO	6750000	43380699	4	0	0.0000	41	39	1.07	1.07
NC_025968.4_RaGOO	6775000	43380699	2	0	0.0174	37	36	0.97	1.00
NC_025968.4_RaGOO	6800000	43380699	0	0	0.0000	40	38	1.05	1.04
NC_025968.4_RaGOO	6825000	43380699	0	1	0.0000	41	40	1.09	1.09
NC_025968.4_RaGOO	6850000	43380699	0	0	0.0158	40	40	1.05	1.09
NC_025968.4_RaGOO	6875000	43380699	0	0	0.0000	42	40	1.11	1.10
NC_025968.4_RaGOO	6900000	43380699	0	2	0.0000	39	37	1.03	1.02
NC_025968.4_RaGOO	6925000	43380699	1	0	0.0000	34	32	0.89	0.89
NC_025968.4_RaGOO	6950000	43380699	2	0	0.0000	37	35	0.97	0.97
NC_025968.4_RaGOO	6975000	43380699	0	0	0.0000	39	37	1.02	1.01
